得意先コード,袋,角底,手提げ袋,保存袋
2844,0,0,0,0
2846,0,0,0,0
2908,0,0,0,0
2911,0,1,0,0
2912,0,0,0,0
2913,1,0,0,0
2914,0,0,0,0
2933,1,1,0,0
2934,0,1,0,0
2935,1,0,0,0
2936,0,1,0,0
2937,0,0,0,0
3005,1,1,0,0
3007,1,1,0,0
3013,0,0,0,0
3014,1,1,0,0
3016,1,1,0,0
3017,0,0,0,0
3018,0,0,0,0
3019,1,0,0,0
3020,1,1,0,0
3021,0,0,0,0
3022,0,0,0,0
3023,0,0,0,0
3024,0,0,0,0
3025,0,0,0,0
3026,1,1,0,1
3051,1,1,0,0
3052,0,0,0,0
3102,1,0,0,0
3150,0,0,0,0
3151,1,1,0,0
3152,1,1,0,0
3155,1,1,0,0
3156,0,0,0,0
3157,0,0,0,0
3158,0,0,0,0
3159,1,0,0,0
3160,1,1,0,0
3161,1,0,0,0
3162,1,0,0,0
3163,1,1,0,0
3164,0,0,0,0
3165,0,0,0,0
3201,0,0,0,0
3307,0,0,0,0
3309,1,0,0,0
3310,1,1,0,0
3413,0,1,0,0
3500,1,1,0,0
3503,1,1,0,0
3506,1,1,0,0
3507,0,1,0,0
3509,0,0,0,0
3512,1,1,0,1
3513,0,0,0,0
3514,1,1,0,0
3515,1,1,0,0
3550,1,1,0,1
3551,1,1,0,0
3553,0,0,0,0
3554,0,0,0,0
3555,0,0,0,0
3556,1,1,0,0
3557,1,0,0,0
3558,1,1,0,0
3559,1,1,0,0
3560,0,0,0,0
3561,0,0,0,0
3563,0,0,0,0
3564,0,1,0,0
3600,0,1,0,0
3602,0,0,0,0
3603,0,0,0,0
3700,1,1,0,0
3703,0,0,0,0
3704,1,1,0,0
4007,0,0,0,0
4008,0,0,0,0
4009,0,0,0,0
4104,0,0,0,0
4105,0,1,0,0
4106,1,0,0,0
4250,1,0,0,0
4251,0,1,0,0
4252,0,0,0,0
4253,0,0,0,0
4254,1,1,0,0
4255,1,1,0,1
4256,0,0,0,0
4257,0,0,0,0
