得意先コード,角封筒_オーダーメイド,角封筒_既製品,角封筒(アドヘア)_オーダーメイド,角封筒(アドヘア)_既製品,角封筒(テープ付)_オーダーメイド,角封筒(テープ付)_既製品,角封筒(ホットメルト)_オーダーメイド,角封筒(ホットメルト)_既製品,角窓明封筒_オーダーメイド,角窓明封筒_既製品,角窓明封筒(アドヘア)_オーダーメイド,角窓明封筒(テープ付)_オーダーメイド,角窓明封筒(ホットメルト)_オーダーメイド,長封筒_オーダーメイド,長封筒_既製品,長封筒(アドヘア)_オーダーメイド,長封筒(テープ付)_オーダーメイド,長封筒(テープ付)_既製品,長封筒(ホットメルト)_オーダーメイド,長封筒(ホットメルト)_既製品,長窓明封筒_オーダーメイド,長窓明封筒_既製品,長窓明封筒(アドヘア)_オーダーメイド,長窓明封筒(テープ付)_オーダーメイド,長窓明封筒(ホットメルト)_オーダーメイド,洋封筒(テープ付)_既製品,洋封筒(ホットメルト)_既製品,封筒_オーダーメイド,封筒(アドヘア)_オーダーメイド,封筒(アドヘア)_既製品,封筒(テープ付)_オーダーメイド,封筒(ホットメルト)_オーダーメイド,開封封筒_オーダーメイド,甘栗封筒_オーダーメイド,レントゲン封筒_オーダーメイド,窓明封筒_オーダーメイド,窓明封筒_既製品,窓明(アドヘア)封筒_オーダーメイド,窓明(アドヘア)封筒_既製品,窓明封筒(テープ付)_オーダーメイド,窓明封筒(ホットメルト)_オーダーメイド,手貼り_オーダーメイド,ダイヤモンド貼_オーダーメイド,ダイヤモンド貼_既製品,ダイヤモンド貼(アラビア)_オーダーメイド,内叺_オーダーメイド,内叺(アドヘア)_オーダーメイド,内叺(テープ付)_オーダーメイド,内叺(ホットメルト)_オーダーメイド,内叺(アラビア)_オーダーメイド,内叺窓明_オーダーメイド,内叺窓明(アドヘア)_オーダーメイド,内叺窓明(アドヘア)_既製品,内叺窓明(テープ付)_オーダーメイド,内叺窓明(テープ付)_既製品,内叺窓明(ホットメルト)_オーダーメイド,内叺窓明(ホットメルト)_既製品,内叺窓明(アラビア)_オーダーメイド,内叺窓明(アラビア)_既製品,大内叺_オーダーメイド,大内叺(アドヘア)_オーダーメイド,大内叺(アラビア)_オーダーメイド,大内叺窓明_オーダーメイド,大内叺窓明(アドヘア)_オーダーメイド,大内叺窓明(アラビア)_オーダーメイド,ガゼット_オーダーメイド,S貼,C貼,逆S
70,1.9444826721501687,0.0,0.3010299956639812,1.919078092376074,0.9542425094393249,0.47712125471966244,0.6020599913279624,2.3961993470957363,0.0,0.0,0.3010299956639812,0.9542425094393249,0.6020599913279624,1.6334684555795864,0.0,0.0,0.8450980400142568,0.6020599913279624,0.0,2.5327543789924976,0.47712125471966244,0.0,0.0,0.8450980400142568,0.0,0.3010299956639812,1.2787536009528289,2.4608978427565478,1.4771212547196624,0.0,1.380211241711606,1.1760912590556813,0.3010299956639812,0.0,1.3424226808222062,2.514547752660286,0.0,2.6314437690131722,0.47712125471966244,2.2764618041732443,1.6334684555795864,0.6020599913279624,0.3010299956639812,0.0,0.0,2.1789769472931693,1.380211241711606,1.2041199826559248,0.7781512503836436,1.255272505103306,2.5899496013257077,2.0530784434834195,0.0,1.4913616938342726,0.0,1.3979400086720377,0.0,2.2528530309798933,0.0,1.8692317197309762,1.1760912590556813,0.6020599913279624,1.414973347970818,1.2304489213782739,0.9542425094393249,0.0,2.835056101720116,2.863322860120456,2.4533183400470375
72,0.3010299956639812,0.0,0.0,0.7781512503836436,0.0,0.0,0.0,0.47712125471966244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6989700043360189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8450980400142568,0.0,0.0,0.0,0.0,0.0,0.0,0.3010299956639812,1.0,0.0,0.6989700043360189,0.0,0.7781512503836436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3010299956639812,0.3010299956639812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47712125471966244,1.380211241711606,0.47712125471966244
73,0.6020599913279624,0.0,0.0,0.7781512503836436,0.6020599913279624,0.3010299956639812,1.1139433523068367,1.3424226808222062,0.0,0.0,0.0,0.6020599913279624,1.1139433523068367,0.3010299956639812,0.0,0.0,0.0,0.3010299956639812,0.0,1.8325089127062364,0.0,0.0,0.0,0.0,0.0,0.0,1.0791812460476249,1.6127838567197355,0.9542425094393249,0.0,0.0,1.0,0.0,0.0,0.3010299956639812,1.7075701760979363,0.0,1.792391689498254,0.0,1.146128035678238,1.0,0.0,0.3010299956639812,0.0,0.0,1.4771212547196624,0.47712125471966244,0.3010299956639812,0.47712125471966244,1.2041199826559248,1.806179973983887,1.1760912590556813,0.3010299956639812,0.6020599913279624,0.0,0.8450980400142568,0.0,1.6020599913279623,0.0,0.9542425094393249,0.0,0.0,0.7781512503836436,0.7781512503836436,0.0,0.47712125471966244,2.1172712956557644,1.792391689498254,2.0569048513364727
74,1.2304489213782739,0.0,0.3010299956639812,0.6989700043360189,1.0413926851582251,0.3010299956639812,0.6989700043360189,2.4785664955938436,0.0,0.0,0.3010299956639812,1.0413926851582251,0.6989700043360189,0.9030899869919435,0.0,0.3010299956639812,0.0,0.9542425094393249,0.0,2.73559889969818,0.0,0.0,0.3010299956639812,0.0,0.0,0.0,1.6989700043360187,2.576341350205793,1.8808135922807914,0.0,1.6901960800285136,1.0413926851582251,0.0,0.0,1.8864907251724818,2.5514499979728753,0.0,2.271841606536499,0.0,2.0718820073061255,2.100370545117563,1.3424226808222062,0.6989700043360189,0.0,0.0,2.113943352306837,1.146128035678238,1.2304489213782739,1.0,0.9030899869919435,2.582063362911709,2.0969100130080562,0.0,1.863322860120456,0.47712125471966244,1.6532125137753437,0.0,2.0718820073061255,0.0,1.7993405494535817,0.9030899869919435,0.0,1.6989700043360187,1.380211241711606,1.0,0.3010299956639812,2.711807229041191,2.829946695941636,2.439332693830263
80,0.3010299956639812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6989700043360189,0.0,1.0,0.0,0.0,0.0,0.0,0.6020599913279624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.462397997898956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3010299956639812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8450980400142568,1.6812412373755872,0.3010299956639812
86,1.3979400086720377,0.0,0.0,0.0,1.0791812460476249,0.0,0.0,0.0,0.0,0.0,0.0,1.0791812460476249,0.0,0.6020599913279624,0.0,0.0,0.8450980400142568,0.0,0.0,0.0,0.0,0.0,0.0,0.8450980400142568,0.0,0.0,0.0,1.3979400086720377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3010299956639812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.724275869600789,1.2304489213782739,1.146128035678238
99,0.0,0.0,1.255272505103306,0.0,0.3010299956639812,0.0,0.0,0.0,0.0,0.0,1.255272505103306,0.3010299956639812,0.0,0.3010299956639812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3010299956639812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3010299956639812,0.0,0.3010299956639812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3222192947339193,0.0,0.3010299956639812
100,0.47712125471966244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0413926851582251,0.0,0.0,0.0,0.0,0.0,0.0,0.6020599913279624,0.0,0.0,0.0,0.0,0.0,0.0,1.3010299956639813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3010299956639812,0.0,0.0,0.0,0.0,0.0,0.0,1.4771212547196624,0.7781512503836436,0.3010299956639812
104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7781512503836436,0.0,0.3010299956639812,0.0,0.0,0.47712125471966244,0.0,0.0,0.0,0.0,0.0,0.0,0.6020599913279624,0.0,0.0,0.0,0.0,0.0,0.0,0.47712125471966244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3010299956639812,0.0,0.0,0.0,0.3010299956639812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0791812460476249,0.47712125471966244,0.0
124,0.9030899869919435,0.0,0.0,0.0,0.0,0.0,0.9542425094393249,0.0,0.0,0.0,0.0,0.0,1.3010299956639813,0.8450980400142568,0.0,0.3010299956639812,0.0,0.0,1.146128035678238,0.0,0.0,0.0,0.3010299956639812,0.0,1.146128035678238,0.0,0.0,0.47712125471966244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0413926851582251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3010299956639812,0.0,0.0,0.0,0.0,1.3010299956639813,0.0,0.0,0.0,0.0,1.3010299956639813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7075701760979363,1.255272505103306,0.8450980400142568
